Totales Territoriales;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Totales Territoriales;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2025M04;9,38
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2025M03;10,65
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2025M02;12,61
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2025M01;14,68
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2024M12;10,7
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2024M11;9,76
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2024M10;8,85
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2024M09;9,68
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2024M08;11,54
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2024M07;10,54
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2024M06;8,44
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2024M05;7,33
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2024M04;7,88
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2024M03;7,89
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2024M02;10,79
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2024M01;10,61
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2023M12;11,16
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2023M11;10,49
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2023M10;8,38
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2023M09;9,29
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2023M08;11,64
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2023M07;11,15
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2023M06;9,41
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2023M05;8,77
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2023M04;7,87
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2023M03;9,75
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2023M02;12,68
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2023M01;12,33
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2022M12;10,86
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2022M11;10,43
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2022M10;9,12
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2022M09;9,86
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2022M08;11,22
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2022M07;10,95
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2022M06;9,14
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2022M05;8,05
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2022M04;7,92
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2022M03;9,06
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2022M02;12,72
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2022M01;9,96
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2021M12;10,44
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2021M11;9,73
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2021M10;8,66
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2021M09;9,49
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2021M08;10,98
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2021M07;10,65
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2021M06;8,89
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2021M05;8,47
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2021M04;8,28
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2021M03;8,53
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2021M02;8,38
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2021M01;9,73
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2020M12;7,88
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2020M11;5,08
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2020M10;10,53
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2020M09;9,44
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2020M08;9,98
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2020M07;10,61
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2020M06;15,53
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2020M05;19,89
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2020M04;..
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2020M03;8,81
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2020M02;10,86
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2020M01;9,83
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2019M12;10,69
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2019M11;9,87
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2019M10;9,24
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2019M09;9,11
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2019M08;10,86
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2019M07;10,91
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2019M06;7,96
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2019M05;6,16
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2019M04;7,22
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2019M03;7,5
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2019M02;10,58
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2019M01;9,03
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2018M12;10,07
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2018M11;9,11
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2018M10;8,18
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2018M09;8,51
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2018M08;11,01
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2018M07;10,05
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2018M06;7,54
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2018M05;6,81
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2018M04;6,3
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2018M03;7,22
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2018M02;9
Total Nacional;;Viajero;Total Nacional;01 Andalucía;2018M01;8,52
