Totales Territoriales;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Totales Territoriales;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2008M06;0,49
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2008M05;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2008M04;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2008M03;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2008M02;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2008M01;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2007M12;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2007M11;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2007M10;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2007M09;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2007M08;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2007M07;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2007M06;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2007M05;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2007M04;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2007M03;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2007M02;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2007M01;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2006M12;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2006M11;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2006M10;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2006M09;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2006M08;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2006M07;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2006M06;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2006M05;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2006M04;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2006M03;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2006M02;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2006M01;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2005M12;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2005M11;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2005M10;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2005M09;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2005M08;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2005M07;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2005M06;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2005M05;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2005M04;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2005M03;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2005M02;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;18 Ceuta;2005M01;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2026M06;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2026M05;0,02
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2026M04;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2026M03;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2026M02;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2026M01;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2025M12;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2025M11;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2025M10;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2025M09;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2025M08;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2025M07;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2025M06;0,01
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2025M05;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2025M04;0,02
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2025M03;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2025M02;0,01
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2025M01;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2024M12;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2024M11;0,03
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2024M10;0,05
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2024M09;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2024M08;0,09
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2024M07;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2024M06;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2024M05;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2024M04;0,13
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2024M03;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2024M02;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2024M01;0,04
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2023M12;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2023M11;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2023M10;0,26
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2023M09;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2023M08;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2023M07;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2023M06;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2023M05;0,06
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2023M04;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2023M03;0,23
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2023M02;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2023M01;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2022M12;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2022M11;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2022M10;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2022M09;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2022M08;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2022M07;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2022M06;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2022M05;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2022M04;0,03
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2022M03;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2022M02;0,49
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2022M01;0,07
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2021M12;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2021M11;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2021M10;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2021M09;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2021M08;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2021M07;0,17
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2021M06;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2021M05;0,1
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2021M04;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2021M03;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2021M02;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2021M01;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2020M12;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2020M11;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2020M10;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2020M09;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2020M08;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2020M07;1,12
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2020M06;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2020M05;0
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2020M04;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2020M03;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2020M02;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2020M01;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2019M12;0,03
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2019M11;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2019M10;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2019M09;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2019M08;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2019M07;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2019M06;0,07
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2019M05;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2019M04;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2019M03;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2019M02;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2019M01;0,13
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2018M12;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2018M11;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2018M10;0,03
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2018M09;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2018M08;0,02
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2018M07;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2018M06;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2018M05;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2018M04;0,01
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2018M03;0,03
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2018M02;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2018M01;0,07
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2017M12;0,26
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2017M11;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2017M10;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2017M09;0,01
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2017M08;0,03
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2017M07;0,02
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2017M06;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2017M05;0,05
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2017M04;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2017M03;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2017M02;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2017M01;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2016M12;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2016M11;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2016M10;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2016M09;0,03
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2016M08;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2016M07;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2016M06;0,02
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2016M05;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2016M04;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2016M03;0,04
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2016M02;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2016M01;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2015M12;0,03
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2015M11;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2015M10;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2015M09;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2015M08;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2015M07;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2015M06;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2015M05;0,09
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2015M04;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2015M03;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2015M02;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2015M01;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2014M12;0,07
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2014M11;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2014M10;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2014M09;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2014M08;0,04
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2014M07;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2014M06;0,03
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2014M05;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2014M04;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2014M03;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2014M02;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2014M01;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2013M12;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2013M11;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2013M10;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2013M09;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2013M08;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2013M07;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2013M06;0,12
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2013M05;0,09
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2013M04;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2013M03;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2013M02;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2013M01;0,03
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2012M12;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2012M11;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2012M10;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2012M09;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2012M08;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2012M07;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2012M06;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2012M05;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2012M04;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2012M03;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2012M02;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2012M01;0,26
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2011M12;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2011M11;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2011M10;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2011M09;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2011M08;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2011M07;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2011M06;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2011M05;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2011M04;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2011M03;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2011M02;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2011M01;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2010M12;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2010M11;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2010M10;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2010M09;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2010M08;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2010M07;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2010M06;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2010M05;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2010M04;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2010M03;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2010M02;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2010M01;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2009M12;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2009M11;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2009M10;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2009M09;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2009M08;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2009M07;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2009M06;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2009M05;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2009M04;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2009M03;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2009M02;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2009M01;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2008M12;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2008M11;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2008M10;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2008M09;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2008M08;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2008M07;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2008M06;..
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2008M05;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2008M04;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2008M03;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2008M02;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2008M01;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2007M12;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2007M11;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2007M10;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2007M09;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2007M08;""
Total Nacional;13 Madrid, Comunidad de;Pernoctaciones;Total Nacional;19 Melilla;2007M07;""
