Provincias de destino;Procedencia de los viajeros;Meses;Total
06 Badajoz;Total;Octubre;11.222
06 Badajoz;Total;Noviembre;11.759
06 Badajoz;Total;Diciembre;12.200
06 Badajoz;Residentes en España;Total;118.839
06 Badajoz;Residentes en España;Enero;5.439
06 Badajoz;Residentes en España;Febrero;6.268
06 Badajoz;Residentes en España;Marzo;11.229
06 Badajoz;Residentes en España;Abril;7.510
06 Badajoz;Residentes en España;Mayo;8.795
06 Badajoz;Residentes en España;Junio;9.464
06 Badajoz;Residentes en España;Julio;12.140
06 Badajoz;Residentes en España;Agosto;18.914
06 Badajoz;Residentes en España;Septiembre;10.214
06 Badajoz;Residentes en España;Octubre;7.985
06 Badajoz;Residentes en España;Noviembre;9.985
06 Badajoz;Residentes en España;Diciembre;10.896
06 Badajoz;No residentes en España;Total;23.945
06 Badajoz;No residentes en España;Enero;488
06 Badajoz;No residentes en España;Febrero;753
06 Badajoz;No residentes en España;Marzo;1.598
06 Badajoz;No residentes en España;Abril;2.507
06 Badajoz;No residentes en España;Mayo;2.283
06 Badajoz;No residentes en España;Junio;1.359
06 Badajoz;No residentes en España;Julio;3.060
06 Badajoz;No residentes en España;Agosto;3.510
06 Badajoz;No residentes en España;Septiembre;2.073
06 Badajoz;No residentes en España;Octubre;3.237
06 Badajoz;No residentes en España;Noviembre;1.774
06 Badajoz;No residentes en España;Diciembre;1.304
07 Balears, Illes;Total;Total;1.688.708
07 Balears, Illes;Total;Enero;20.475
07 Balears, Illes;Total;Febrero;32.967
07 Balears, Illes;Total;Marzo;78.155
07 Balears, Illes;Total;Abril;141.112
07 Balears, Illes;Total;Mayo;204.804
07 Balears, Illes;Total;Junio;225.601
07 Balears, Illes;Total;Julio;239.272
07 Balears, Illes;Total;Agosto;262.731
07 Balears, Illes;Total;Septiembre;237.092
07 Balears, Illes;Total;Octubre;176.723
07 Balears, Illes;Total;Noviembre;38.315
07 Balears, Illes;Total;Diciembre;31.462
07 Balears, Illes;Residentes en España;Total;207.053
07 Balears, Illes;Residentes en España;Enero;7.626
07 Balears, Illes;Residentes en España;Febrero;10.139
07 Balears, Illes;Residentes en España;Marzo;12.301
07 Balears, Illes;Residentes en España;Abril;11.616
07 Balears, Illes;Residentes en España;Mayo;16.993
07 Balears, Illes;Residentes en España;Junio;24.732
07 Balears, Illes;Residentes en España;Julio;26.233
07 Balears, Illes;Residentes en España;Agosto;34.640
07 Balears, Illes;Residentes en España;Septiembre;24.363
07 Balears, Illes;Residentes en España;Octubre;16.368
07 Balears, Illes;Residentes en España;Noviembre;10.987
07 Balears, Illes;Residentes en España;Diciembre;11.055
07 Balears, Illes;No residentes en España;Total;1.481.655
07 Balears, Illes;No residentes en España;Enero;12.849
07 Balears, Illes;No residentes en España;Febrero;22.828
07 Balears, Illes;No residentes en España;Marzo;65.854
07 Balears, Illes;No residentes en España;Abril;129.496
07 Balears, Illes;No residentes en España;Mayo;187.811
07 Balears, Illes;No residentes en España;Junio;200.869
07 Balears, Illes;No residentes en España;Julio;213.040
07 Balears, Illes;No residentes en España;Agosto;228.091
07 Balears, Illes;No residentes en España;Septiembre;212.729
07 Balears, Illes;No residentes en España;Octubre;160.355
07 Balears, Illes;No residentes en España;Noviembre;27.327
07 Balears, Illes;No residentes en España;Diciembre;20.407
08 Barcelona;Total;Total;415.898
08 Barcelona;Total;Enero;13.286
08 Barcelona;Total;Febrero;20.223
08 Barcelona;Total;Marzo;29.613
08 Barcelona;Total;Abril;24.052
08 Barcelona;Total;Mayo;31.533
08 Barcelona;Total;Junio;38.604
08 Barcelona;Total;Julio;51.872
08 Barcelona;Total;Agosto;75.646
08 Barcelona;Total;Septiembre;34.746
08 Barcelona;Total;Octubre;33.239
08 Barcelona;Total;Noviembre;26.432
08 Barcelona;Total;Diciembre;36.652
08 Barcelona;Residentes en España;Total;316.032
08 Barcelona;Residentes en España;Enero;12.023
08 Barcelona;Residentes en España;Febrero;17.228
08 Barcelona;Residentes en España;Marzo;26.994
08 Barcelona;Residentes en España;Abril;17.963
08 Barcelona;Residentes en España;Mayo;23.451
08 Barcelona;Residentes en España;Junio;30.994
08 Barcelona;Residentes en España;Julio;29.492
08 Barcelona;Residentes en España;Agosto;49.498
08 Barcelona;Residentes en España;Septiembre;26.481
08 Barcelona;Residentes en España;Octubre;26.282
08 Barcelona;Residentes en España;Noviembre;22.830
08 Barcelona;Residentes en España;Diciembre;32.795
08 Barcelona;No residentes en España;Total;99.866
08 Barcelona;No residentes en España;Enero;1.263
08 Barcelona;No residentes en España;Febrero;2.995
08 Barcelona;No residentes en España;Marzo;2.618
08 Barcelona;No residentes en España;Abril;6.090
08 Barcelona;No residentes en España;Mayo;8.082
08 Barcelona;No residentes en España;Junio;7.610
08 Barcelona;No residentes en España;Julio;22.379
08 Barcelona;No residentes en España;Agosto;26.149
08 Barcelona;No residentes en España;Septiembre;8.264
08 Barcelona;No residentes en España;Octubre;6.957
08 Barcelona;No residentes en España;Noviembre;3.602
08 Barcelona;No residentes en España;Diciembre;3.858
48 Bizkaia;Total;Total;113.867
48 Bizkaia;Total;Enero;4.005
48 Bizkaia;Total;Febrero;4.116
48 Bizkaia;Total;Marzo;7.931
48 Bizkaia;Total;Abril;6.645
48 Bizkaia;Total;Mayo;9.227
48 Bizkaia;Total;Junio;11.627
48 Bizkaia;Total;Julio;15.941
48 Bizkaia;Total;Agosto;22.891
48 Bizkaia;Total;Septiembre;9.949
48 Bizkaia;Total;Octubre;8.780
48 Bizkaia;Total;Noviembre;6.326
48 Bizkaia;Total;Diciembre;6.428
48 Bizkaia;Residentes en España;Total;83.623
48 Bizkaia;Residentes en España;Enero;3.742
48 Bizkaia;Residentes en España;Febrero;3.670
48 Bizkaia;Residentes en España;Marzo;7.005
48 Bizkaia;Residentes en España;Abril;5.039
48 Bizkaia;Residentes en España;Mayo;5.792
48 Bizkaia;Residentes en España;Junio;7.542
48 Bizkaia;Residentes en España;Julio;10.549
48 Bizkaia;Residentes en España;Agosto;16.328
48 Bizkaia;Residentes en España;Septiembre;6.989
48 Bizkaia;Residentes en España;Octubre;6.369
48 Bizkaia;Residentes en España;Noviembre;5.213
48 Bizkaia;Residentes en España;Diciembre;5.386
48 Bizkaia;No residentes en España;Total;30.244
48 Bizkaia;No residentes en España;Enero;262
48 Bizkaia;No residentes en España;Febrero;446
48 Bizkaia;No residentes en España;Marzo;926
48 Bizkaia;No residentes en España;Abril;1.606
48 Bizkaia;No residentes en España;Mayo;3.436
48 Bizkaia;No residentes en España;Junio;4.085
48 Bizkaia;No residentes en España;Julio;5.393
48 Bizkaia;No residentes en España;Agosto;6.563
48 Bizkaia;No residentes en España;Septiembre;2.960
48 Bizkaia;No residentes en España;Octubre;2.412
48 Bizkaia;No residentes en España;Noviembre;1.113
48 Bizkaia;No residentes en España;Diciembre;1.042
09 Burgos;Total;Total;336.238
09 Burgos;Total;Enero;8.485
09 Burgos;Total;Febrero;11.792
09 Burgos;Total;Marzo;33.944
09 Burgos;Total;Abril;26.050
09 Burgos;Total;Mayo;31.376
09 Burgos;Total;Junio;25.595
09 Burgos;Total;Julio;36.412
09 Burgos;Total;Agosto;54.665
09 Burgos;Total;Septiembre;28.825
09 Burgos;Total;Octubre;30.385
09 Burgos;Total;Noviembre;21.972
09 Burgos;Total;Diciembre;26.738
09 Burgos;Residentes en España;Total;305.189
09 Burgos;Residentes en España;Enero;7.760
09 Burgos;Residentes en España;Febrero;11.201
09 Burgos;Residentes en España;Marzo;32.719
09 Burgos;Residentes en España;Abril;23.535
09 Burgos;Residentes en España;Mayo;27.424
09 Burgos;Residentes en España;Junio;22.844
09 Burgos;Residentes en España;Julio;30.766
09 Burgos;Residentes en España;Agosto;49.107
09 Burgos;Residentes en España;Septiembre;24.822
09 Burgos;Residentes en España;Octubre;28.161
09 Burgos;Residentes en España;Noviembre;20.965
09 Burgos;Residentes en España;Diciembre;25.884
09 Burgos;No residentes en España;Total;31.049
09 Burgos;No residentes en España;Enero;725
09 Burgos;No residentes en España;Febrero;591
09 Burgos;No residentes en España;Marzo;1.225
09 Burgos;No residentes en España;Abril;2.514
09 Burgos;No residentes en España;Mayo;3.952
09 Burgos;No residentes en España;Junio;2.751
09 Burgos;No residentes en España;Julio;5.646
09 Burgos;No residentes en España;Agosto;5.558
09 Burgos;No residentes en España;Septiembre;4.002
09 Burgos;No residentes en España;Octubre;2.224
09 Burgos;No residentes en España;Noviembre;1.007
09 Burgos;No residentes en España;Diciembre;853
10 Cáceres;Total;Total;428.423
10 Cáceres;Total;Enero;13.409
10 Cáceres;Total;Febrero;17.289
10 Cáceres;Total;Marzo;41.724
10 Cáceres;Total;Abril;35.381
10 Cáceres;Total;Mayo;37.850
10 Cáceres;Total;Junio;30.718
10 Cáceres;Total;Julio;54.090
10 Cáceres;Total;Agosto;78.813
10 Cáceres;Total;Septiembre;34.282
10 Cáceres;Total;Octubre;27.311
10 Cáceres;Total;Noviembre;26.902
10 Cáceres;Total;Diciembre;30.653
10 Cáceres;Residentes en España;Total;364.131
10 Cáceres;Residentes en España;Enero;12.358
10 Cáceres;Residentes en España;Febrero;14.744
10 Cáceres;Residentes en España;Marzo;35.818
10 Cáceres;Residentes en España;Abril;25.558
10 Cáceres;Residentes en España;Mayo;30.081
10 Cáceres;Residentes en España;Junio;26.918
10 Cáceres;Residentes en España;Julio;45.936
10 Cáceres;Residentes en España;Agosto;67.916
10 Cáceres;Residentes en España;Septiembre;29.292
10 Cáceres;Residentes en España;Octubre;24.080
10 Cáceres;Residentes en España;Noviembre;23.561
10 Cáceres;Residentes en España;Diciembre;27.869
10 Cáceres;No residentes en España;Total;64.292
10 Cáceres;No residentes en España;Enero;1.051
10 Cáceres;No residentes en España;Febrero;2.545
10 Cáceres;No residentes en España;Marzo;5.906
10 Cáceres;No residentes en España;Abril;9.823
10 Cáceres;No residentes en España;Mayo;7.768
10 Cáceres;No residentes en España;Junio;3.800
10 Cáceres;No residentes en España;Julio;8.154
10 Cáceres;No residentes en España;Agosto;10.898
10 Cáceres;No residentes en España;Septiembre;4.990
10 Cáceres;No residentes en España;Octubre;3.231
10 Cáceres;No residentes en España;Noviembre;3.341
10 Cáceres;No residentes en España;Diciembre;2.784
11 Cádiz;Total;Total;76.056
11 Cádiz;Total;Enero;2.093
11 Cádiz;Total;Febrero;3.253
11 Cádiz;Total;Marzo;5.839
11 Cádiz;Total;Abril;5.539
11 Cádiz;Total;Mayo;6.143
11 Cádiz;Total;Junio;7.747
11 Cádiz;Total;Julio;8.037
11 Cádiz;Total;Agosto;13.489
11 Cádiz;Total;Septiembre;7.658
11 Cádiz;Total;Octubre;6.193
11 Cádiz;Total;Noviembre;5.450
11 Cádiz;Total;Diciembre;4.615
11 Cádiz;Residentes en España;Total;51.955
11 Cádiz;Residentes en España;Enero;1.683
11 Cádiz;Residentes en España;Febrero;2.304
11 Cádiz;Residentes en España;Marzo;4.229
11 Cádiz;Residentes en España;Abril;3.192
11 Cádiz;Residentes en España;Mayo;2.952
11 Cádiz;Residentes en España;Junio;4.717
11 Cádiz;Residentes en España;Julio;6.198
11 Cádiz;Residentes en España;Agosto;10.643
11 Cádiz;Residentes en España;Septiembre;5.525
11 Cádiz;Residentes en España;Octubre;3.383
11 Cádiz;Residentes en España;Noviembre;4.036
11 Cádiz;Residentes en España;Diciembre;3.093
11 Cádiz;No residentes en España;Total;24.101
11 Cádiz;No residentes en España;Enero;411
