Provincias de destino;Procedencia de los viajeros;Meses;Total
Bizkaia;Residentes en España;Mayo;2.976
Bizkaia;Residentes en España;Junio;3.308
Bizkaia;Residentes en España;Julio;4.106
Bizkaia;Residentes en España;Agosto;5.155
Bizkaia;Residentes en España;Septiembre;3.284
Bizkaia;Residentes en España;Octubre;3.221
Bizkaia;Residentes en España;Noviembre;2.417
Bizkaia;Residentes en España;Diciembre;2.394
Bizkaia;No Residentes;Total;15.260
Bizkaia;No Residentes;Enero;171
Bizkaia;No Residentes;Febrero;324
Bizkaia;No Residentes;Marzo;570
Bizkaia;No Residentes;Abril;897
Bizkaia;No Residentes;Mayo;2.198
Bizkaia;No Residentes;Junio;2.227
Bizkaia;No Residentes;Julio;2.348
Bizkaia;No Residentes;Agosto;2.503
Bizkaia;No Residentes;Septiembre;1.750
Bizkaia;No Residentes;Octubre;1.367
Bizkaia;No Residentes;Noviembre;504
Bizkaia;No Residentes;Diciembre;400
Burgos;Total;Total;156.738
Burgos;Total;Enero;4.181
Burgos;Total;Febrero;5.462
Burgos;Total;Marzo;13.271
Burgos;Total;Abril;13.450
Burgos;Total;Mayo;17.861
Burgos;Total;Junio;13.811
Burgos;Total;Julio;16.182
Burgos;Total;Agosto;19.453
Burgos;Total;Septiembre;15.767
Burgos;Total;Octubre;14.830
Burgos;Total;Noviembre;11.376
Burgos;Total;Diciembre;11.095
Burgos;Residentes en España;Total;138.519
Burgos;Residentes en España;Enero;3.841
Burgos;Residentes en España;Febrero;5.164
Burgos;Residentes en España;Marzo;12.639
Burgos;Residentes en España;Abril;12.208
Burgos;Residentes en España;Mayo;14.891
Burgos;Residentes en España;Junio;11.943
Burgos;Residentes en España;Julio;13.134
Burgos;Residentes en España;Agosto;16.796
Burgos;Residentes en España;Septiembre;12.883
Burgos;Residentes en España;Octubre;13.451
Burgos;Residentes en España;Noviembre;10.879
Burgos;Residentes en España;Diciembre;10.689
Burgos;No Residentes;Total;18.219
Burgos;No Residentes;Enero;340
Burgos;No Residentes;Febrero;298
Burgos;No Residentes;Marzo;632
Burgos;No Residentes;Abril;1.242
Burgos;No Residentes;Mayo;2.970
Burgos;No Residentes;Junio;1.868
Burgos;No Residentes;Julio;3.048
Burgos;No Residentes;Agosto;2.656
Burgos;No Residentes;Septiembre;2.884
Burgos;No Residentes;Octubre;1.379
Burgos;No Residentes;Noviembre;498
Burgos;No Residentes;Diciembre;406
Cáceres;Total;Total;177.088
Cáceres;Total;Enero;6.350
Cáceres;Total;Febrero;8.049
Cáceres;Total;Marzo;16.599
Cáceres;Total;Abril;15.427
Cáceres;Total;Mayo;16.286
Cáceres;Total;Junio;13.873
Cáceres;Total;Julio;19.080
Cáceres;Total;Agosto;27.507
Cáceres;Total;Septiembre;14.789
Cáceres;Total;Octubre;13.831
Cáceres;Total;Noviembre;12.849
Cáceres;Total;Diciembre;12.449
Cáceres;Residentes en España;Total;150.896
Cáceres;Residentes en España;Enero;5.891
Cáceres;Residentes en España;Febrero;6.780
Cáceres;Residentes en España;Marzo;14.018
Cáceres;Residentes en España;Abril;12.060
Cáceres;Residentes en España;Mayo;13.285
Cáceres;Residentes en España;Junio;12.104
Cáceres;Residentes en España;Julio;16.374
Cáceres;Residentes en España;Agosto;23.392
Cáceres;Residentes en España;Septiembre;12.566
Cáceres;Residentes en España;Octubre;12.049
Cáceres;Residentes en España;Noviembre;11.171
Cáceres;Residentes en España;Diciembre;11.206
Cáceres;No Residentes;Total;26.192
Cáceres;No Residentes;Enero;458
Cáceres;No Residentes;Febrero;1.269
Cáceres;No Residentes;Marzo;2.581
Cáceres;No Residentes;Abril;3.367
Cáceres;No Residentes;Mayo;3.001
Cáceres;No Residentes;Junio;1.769
Cáceres;No Residentes;Julio;2.706
Cáceres;No Residentes;Agosto;4.115
Cáceres;No Residentes;Septiembre;2.223
Cáceres;No Residentes;Octubre;1.782
Cáceres;No Residentes;Noviembre;1.677
Cáceres;No Residentes;Diciembre;1.243
Cádiz;Total;Total;32.537
Cádiz;Total;Enero;857
Cádiz;Total;Febrero;1.815
Cádiz;Total;Marzo;2.720
Cádiz;Total;Abril;2.273
Cádiz;Total;Mayo;2.847
Cádiz;Total;Junio;3.443
Cádiz;Total;Julio;2.868
Cádiz;Total;Agosto;4.864
Cádiz;Total;Septiembre;3.152
Cádiz;Total;Octubre;3.040
Cádiz;Total;Noviembre;2.679
Cádiz;Total;Diciembre;1.979
Cádiz;Residentes en España;Total;24.341
Cádiz;Residentes en España;Enero;652
Cádiz;Residentes en España;Febrero;1.475
Cádiz;Residentes en España;Marzo;2.033
Cádiz;Residentes en España;Abril;1.633
Cádiz;Residentes en España;Mayo;1.670
Cádiz;Residentes en España;Junio;2.615
Cádiz;Residentes en España;Julio;2.332
Cádiz;Residentes en España;Agosto;3.942
Cádiz;Residentes en España;Septiembre;2.337
Cádiz;Residentes en España;Octubre;2.052
Cádiz;Residentes en España;Noviembre;2.065
Cádiz;Residentes en España;Diciembre;1.534
Cádiz;No Residentes;Total;8.196
Cádiz;No Residentes;Enero;204
Cádiz;No Residentes;Febrero;340
Cádiz;No Residentes;Marzo;687
Cádiz;No Residentes;Abril;639
Cádiz;No Residentes;Mayo;1.177
Cádiz;No Residentes;Junio;827
Cádiz;No Residentes;Julio;536
Cádiz;No Residentes;Agosto;922
Cádiz;No Residentes;Septiembre;815
Cádiz;No Residentes;Octubre;989
Cádiz;No Residentes;Noviembre;614
Cádiz;No Residentes;Diciembre;446
Cantabria;Total;Total;269.929
Cantabria;Total;Enero;5.022
Cantabria;Total;Febrero;6.617
Cantabria;Total;Marzo;18.108
Cantabria;Total;Abril;15.377
Cantabria;Total;Mayo;23.586
Cantabria;Total;Junio;26.026
Cantabria;Total;Julio;40.898
Cantabria;Total;Agosto;59.796
Cantabria;Total;Septiembre;33.178
Cantabria;Total;Octubre;17.876
Cantabria;Total;Noviembre;11.482
Cantabria;Total;Diciembre;11.961
Cantabria;Residentes en España;Total;217.188
Cantabria;Residentes en España;Enero;4.416
Cantabria;Residentes en España;Febrero;5.881
Cantabria;Residentes en España;Marzo;16.543
Cantabria;Residentes en España;Abril;12.207
Cantabria;Residentes en España;Mayo;18.068
Cantabria;Residentes en España;Junio;18.344
Cantabria;Residentes en España;Julio;32.585
Cantabria;Residentes en España;Agosto;49.160
Cantabria;Residentes en España;Septiembre;24.666
Cantabria;Residentes en España;Octubre;14.050
Cantabria;Residentes en España;Noviembre;10.198
Cantabria;Residentes en España;Diciembre;11.071
Cantabria;No Residentes;Total;52.741
Cantabria;No Residentes;Enero;606
Cantabria;No Residentes;Febrero;736
Cantabria;No Residentes;Marzo;1.565
Cantabria;No Residentes;Abril;3.171
Cantabria;No Residentes;Mayo;5.518
Cantabria;No Residentes;Junio;7.682
Cantabria;No Residentes;Julio;8.313
Cantabria;No Residentes;Agosto;10.636
Cantabria;No Residentes;Septiembre;8.512
Cantabria;No Residentes;Octubre;3.826
Cantabria;No Residentes;Noviembre;1.284
Cantabria;No Residentes;Diciembre;891
Castellón;Total;Total;44.281
Castellón;Total;Enero;1.238
Castellón;Total;Febrero;2.193
Castellón;Total;Marzo;3.353
Castellón;Total;Abril;2.607
Castellón;Total;Mayo;3.992
Castellón;Total;Junio;4.420
Castellón;Total;Julio;5.173
Castellón;Total;Agosto;5.725
Castellón;Total;Septiembre;4.205
Castellón;Total;Octubre;3.510
Castellón;Total;Noviembre;2.979
Castellón;Total;Diciembre;4.884
Castellón;Residentes en España;Total;40.437
Castellón;Residentes en España;Enero;1.196
Castellón;Residentes en España;Febrero;2.118
Castellón;Residentes en España;Marzo;3.312
Castellón;Residentes en España;Abril;2.352
Castellón;Residentes en España;Mayo;3.543
Castellón;Residentes en España;Junio;4.170
Castellón;Residentes en España;Julio;4.381
Castellón;Residentes en España;Agosto;4.817
Castellón;Residentes en España;Septiembre;3.749
Castellón;Residentes en España;Octubre;3.122
Castellón;Residentes en España;Noviembre;2.807
Castellón;Residentes en España;Diciembre;4.869
Castellón;No Residentes;Total;3.844
Castellón;No Residentes;Enero;42
Castellón;No Residentes;Febrero;75
Castellón;No Residentes;Marzo;41
Castellón;No Residentes;Abril;255
Castellón;No Residentes;Mayo;449
Castellón;No Residentes;Junio;250
Castellón;No Residentes;Julio;792
Castellón;No Residentes;Agosto;908
Castellón;No Residentes;Septiembre;456
Castellón;No Residentes;Octubre;388
Castellón;No Residentes;Noviembre;172
Castellón;No Residentes;Diciembre;15
Ciudad Real;Total;Total;39.463
Ciudad Real;Total;Enero;1.910
Ciudad Real;Total;Febrero;2.427
Ciudad Real;Total;Marzo;3.453
Ciudad Real;Total;Abril;3.000
Ciudad Real;Total;Mayo;2.799
Ciudad Real;Total;Junio;4.099
Ciudad Real;Total;Julio;4.080
Ciudad Real;Total;Agosto;3.724
Ciudad Real;Total;Septiembre;2.762
Ciudad Real;Total;Octubre;3.342
Ciudad Real;Total;Noviembre;3.840
Ciudad Real;Total;Diciembre;4.026
Ciudad Real;Residentes en España;Total;38.496
Ciudad Real;Residentes en España;Enero;1.858
Ciudad Real;Residentes en España;Febrero;2.349
Ciudad Real;Residentes en España;Marzo;3.409
Ciudad Real;Residentes en España;Abril;2.800
Ciudad Real;Residentes en España;Mayo;2.700
Ciudad Real;Residentes en España;Junio;3.929
Ciudad Real;Residentes en España;Julio;4.044
Ciudad Real;Residentes en España;Agosto;3.626
Ciudad Real;Residentes en España;Septiembre;2.726
Ciudad Real;Residentes en España;Octubre;3.285
Ciudad Real;Residentes en España;Noviembre;3.822
Ciudad Real;Residentes en España;Diciembre;3.947
Ciudad Real;No Residentes;Total;967
Ciudad Real;No Residentes;Enero;52
